X,Area,Year,Date,Type,Sub.Area,Address,AddressArea,coordinates,latitude,longitude,BuildingType,LandArea,Pricepsf,Price,BuiltUp,State,CityArea.km2.,City.Town.Village,school.normalised,Population,CPI,Pop.Density,dis_Klcenter_km,time_Klcenter_min,dis_airport_km,time_airport_min,min_dist_hospital_2km,min_dist_school_2km,dist_conv_store_2km,dist_train_10km,dist_min_police_2km,dist_bus_500m,no_hospital_2km,no_train_station_10km,no_conv_store_2km,no_manufacturing_1km,no_manufacturing_500,no_police_2km,no_bus_station_500m,no_school_1km
284,BALAKONG,2016,11/23/2016,Residential,BAYU SURIA (SUMMERFIELDS),JALAN MERANTI,"JALAN MERANTI, BALAKONG",3.020849+101.7527009,3.020849,101.7527009,APARTMENT,969,236,260000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,26.12,30.2,60.31,59.5,1374.84,352.01,231.2,4105.73,596.21,183.44,15,4,13,20,11,2,2,17
285,BALAKONG,2016,7/25/2016,Industrial,KAWASAN PERUSAHAAN LI FOONG,JALAN PERUSAHAAN 3INDUSTRI SELESA JAYA 2,"JALAN PERUSAHAAN 3INDUSTRI SELESA JAYA 2, BALAKONG",3.0204254+101.7449016,3.0204254,101.7449016,SEMI-D FACTORY,969,339,4400000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,23.94,27.6,55.33,56.23,526.14,662.24,529.24,3244.61,714.97,359.95,1,4,14,20,20,1,1,14
286,BALAKONG,2016,4/13/2016,Residential,TAMAN SINARAN,JALAN SINARAN 3,"JALAN SINARAN 3, BALAKONG",3.0096929+101.7515629,3.0096929,101.7515629,TOWN HOUSE,NA,257,310000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,26.33,31.27,60.51,60.57,1751.8,367.36,551.46,4241.3,1726.4,NA,1,4,11,20,15,1,NA,6
288,BALAKONG,2016,7/1/16,Residential,DESA KARUN MAS,JALAN KARUNMAS 8,"JALAN KARUNMAS 8, BALAKONG",3.0053603+101.7530785,3.0053603,101.7530785,TERRACE HOUSE,775,306,460000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,27.19,33.08,58.94,60.37,465.35,613.92,1025.49,4585.08,NA,NA,1,4,6,20,6,NA,NA,2
290,BALAKONG,2016,8/2/16,Industrial,KAWASAN PERUSAHAAN LI FOONG,JALAN 2/2A,"JALAN 2/2A, BALAKONG",3.0205665+101.7432542,3.0205665,101.7432542,TERRACE FACTORY,850,579,1390000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,23.88,27.4,55.19,55.65,526.14,873.91,414.89,3060.8,843.03,178.03,1,4,14,20,20,1,2,13
291,BALAKONG,2016,8/17/2016,Industrial,KAWASAN PERUSAHAAN LI FOONG, JALAN 1/5,"JALAN 1/5, BALAKONG",3.0205141+101.7410182,3.0205141,101.7410182,TERRACE FACTORY,650,225,900000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,23.84,27.65,55.07,55.48,465.35,469.38,392.2,2813.93,1056.53,73.39,2,4,17,20,20,2,2,9
292,BALAKONG,2016,5/19/2016,Industrial,TAMAN TERAS, JALAN TERAS 1,"JALAN TERAS 1, BALAKONG",3.0174092+101.7375573,3.0174092,101.7375573,SEMI-D FACTORY,646,287,3450000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,23.9,27.87,54.47,53.83,894.23,791.71,716.33,2495.4,1564.22,195.03,2,4,19,20,20,2,2,5
293,BALAKONG,2016,7/14/2016,Residential,DESA KARUN MAS,JALAN KARUNMAS 5,"JALAN KARUNMAS 5, BALAKONG",3.0055041+101.7529223,3.0055041,101.7529223,TERRACE HOUSE,926,280,420000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,27.2,33.12,58.96,60.42,714.75,854.18,1008.58,4562.53,NA,NA,1,4,6,20,6,NA,NA,2
294,BALAKONG,2016,3/24/2016,Residential,MOUNT KARUNMAS,JALAN KARUNMAS 5,"JALAN KARUNMAS 5, BALAKONG",3.0055041+101.7529223,3.0055041,101.7529223,CONDOMINIUM,750,203,210000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,27.2,33.12,58.96,60.42,714.75,854.18,1008.58,4562.53,NA,NA,1,4,6,20,6,NA,NA,2
295,BALAKONG,2016,6/13/2016,Industrial,OFF JALAN BALAKONG,BATU 11JALAN BALAKONG,"BATU 11JALAN BALAKONG, BALAKONG",3.0425315+101.7722214,3.0425315,101.7722214,DETACHED FACTORY,654,210,10960900,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,20.46,26.43,61.55,58.02,171.64,116.68,31.04,6632.65,1637.02,6.06,20,4,19,20,20,1,6,12
296,BALAKONG,2016,12/5/16,Industrial,TAMAN TAMING JAYA,JALAN TAMING 7,"JALAN TAMING 7, BALAKONG",3.0204227+101.7361472,3.0204227,101.7361472,TERRACE FACTORY,750,477,1030000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,23.38,27.37,57.57,56.65,714.75,491.68,663.29,2277.13,1372.68,478.69,2,4,20,20,20,2,1,8
297,BALAKONG,2016,1/15/2016,Residential,MUTIARA,JALAN BALAKONG JAYA,"JALAN BALAKONG JAYA, BALAKONG",3.0057201+101.7373669,3.0057201,101.7373669,APARTMENT,811,155,115000,743,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,26.56,27.97,54.04,52.2,1562.77,44.17,555.04,3074.78,NA,107.52,NA,4,6,20,20,NA,3,7
298,BALAKONG,2016,8/10/16,Industrial,TAMAN TAMING JAYA,JALAN TANMING 8,"JALAN TANMING 8, BALAKONG",3.0173564+101.7334212,3.0173564,101.7334212,TERRACE FACTORY,926,650,1300000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,23.19,27.62,54.37,53.4,1169.29,866.19,768.53,2055.51,1387.16,466.63,3,4,19,20,20,3,1,4
299,BALAKONG,2016,10/26/2016,Residential,MOUNT KARUNMAS,JALAN KARUNMAS 5,"JALAN KARUNMAS 5, BALAKONG",3.0055041+101.7529223,3.0055041,101.7529223,CONDOMINIUM,NA,262,290000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,27.2,33.12,58.96,60.42,714.75,854.18,1008.58,4562.53,NA,NA,1,4,6,20,6,NA,NA,2
300,BALAKONG,2016,12/19/2016,Residential,TAMAN CHERAS JAYA,JALAN 9B,"JALAN 9B, BALAKONG",3.031818+101.745295,3.031818,101.745295,TERRACE HOUSE,926,280,260000,927,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,24.16,30.78,60.86,58.88,851.24,383.24,615.78,3417.26,879.44,NA,17,4,16,20,20,3,NA,7
301,BALAKONG,2016,12/16/2016,Industrial,TAMAN INDUSTRI BALAKONG JAYA, JALAN PERINDUSTRIAN BALAKONG JAYA 2,"JALAN PERINDUSTRIAN, BALAKONG",3.0000101+101.7404249,3.0000101,101.7404249,SEMI-D FACTORY,664,287,3100000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,27.34,31.08,54.82,55.32,330.23,527.8,1260.23,3748.96,NA,NA,NA,4,3,20,20,NA,NA,7
302,BALAKONG,2016,3/11/16,Residential,MUTIARA,JALAN BALAKONG JAYA,"JALAN BALAKONG JAYA, BALAKONG",3.0057201+101.7373669,3.0057201,101.7373669,APARTMENT,926,183,136000,743,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,26.56,27.97,54.04,52.2,1562.77,44.17,555.04,3074.78,NA,107.52,NA,4,6,20,20,NA,3,7
303,BALAKONG,2016,8/17/2016,Industrial,KAWASAN PERUSAHAAN LI FOONG, JALAN 5/1,"JALAN 5/1, BALAKONG",3.0170912+101.7401252,3.0170912,101.7401252,TERRACE FACTORY,811,225,900000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,23.71,27.57,54.59,54.37,696.88,811.74,783.51,2780.83,1356.49,152.09,2,4,17,20,20,2,3,5
304,BALAKONG,2016,11/15/2016,Residential,BAYU SURIA (SUMMERFIELDS),JALAN MERANTI,"JALAN MERANTI, BALAKONG",3.020849+101.7527009,3.020849,101.7527009,APARTMENT,657,313,330000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,26.12,30.2,60.31,59.5,1374.84,352.01,231.2,4105.73,596.21,183.44,15,4,13,20,11,2,2,17
305,BALAKONG,2016,12/14/2016,Residential,BAYU SURIA (SUMMERFIELDS),,", BALAKONG",3.0256822+101.738147,3.0256822,101.738147,APARTMENT,657,237,255000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,22.76,23.6,56.95,52.9,330.23,0,441.18,2497.66,1249.5,67.48,2,4,17,20,20,2,5,
306,BALAKONG,2016,5/3/16,Industrial,TAMAN TERAS,JALAN TERAS 3,"JALAN TERAS 3, BALAKONG",3.0187021+101.7391316,3.0187021,101.7391316,SEMI-D FACTORY,764,292,3500000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,23.64,27.13,54.86,55.27,585.48,626.14,653.02,2634.9,1339.34,97.69,2,4,18,20,20,2,3,6
308,BALAKONG,2016,1/21/2016,Residential,TAMAN SINARAN, JALAN SINARAN 3,"JALAN SINARAN 3, BALAKONG",3.0096929+101.7515629,3.0096929,101.7515629,TOWN HOUSE,646,272,305000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,26.33,31.27,60.51,60.57,1751.8,367.36,551.46,4241.3,1726.4,NA,1,4,11,20,15,1,NA,6
309,BALAKONG,2016,10/13/2016,Industrial,OFF JALAN BALAKONG, JALAN KB 2/15,"JALAN KB 2/15, BALAKONG",3.0304033+101.7504884,3.0304033,101.7504884,SEMI-D FACTORY,NA,298,4180000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,26,28.03,60.19,57.33,1236.43,453.8,700.9,3938.28,609.23,438.95,17,4,15,20,20,2,6,11
310,BALAKONG,2016,9/4/16,Residential,BAYU SURIA (SUMMERFIELDS),JALAN MERANTI,"JALAN MERANTI, BALAKONG",3.020849+101.7527009,3.020849,101.7527009,APARTMENT,NA,263,290000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,26.12,30.2,60.31,59.5,1374.84,352.01,231.2,4105.73,596.21,183.44,15,4,13,20,11,2,2,17
311,BALAKONG,2016,10/28/2016,Residential,TAMAN CHERAS JAYA, JALAN CJ2/14,"JALAN CJ2/14, BALAKONG",3.0270927+101.7601096,3.0270927,101.7601096,TERRACE HOUSE,850,338,500000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,26.38,28.88,58.52,58,578.2,189.18,430.92,4942.42,1002.23,434.18,17,4,13,20,18,2,2,16
312,BALAKONG,2016,4/26/2016,Residential,KAMPUNG BARU BALAKONG,JALAN KB 2/15,"JALAN KB 2/15, BALAKONG",3.0304033+101.7504884,3.0304033,101.7504884,BUNGALOW,855,96,500000,792,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,26,28.03,60.19,57.33,1236.43,453.8,700.9,3938.28,609.23,438.95,17,4,15,20,20,2,6,11
313,BALAKONG,2016,11/1/16,Residential,MOUNT KARUNMAS,JALAN KARUNMAS 5,"JALAN KARUNMAS 5, BALAKONG",3.0055041+101.7529223,3.0055041,101.7529223,CONDOMINIUM,657,233,258000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,27.2,33.12,58.96,60.42,714.75,854.18,1008.58,4562.53,NA,NA,1,4,6,20,6,NA,NA,2
314,BALAKONG,2016,12/29/2016,Industrial,TAMAN INDUSTRI BALAKONG JAYA, JALAN BALAKONG JAYA 6,"JALAN BALAKONG JAYA 6, BALAKONG",3.0112175+101.7524347,3.0112175,101.7524347,TERRACE FACTORY,646,544,1090000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,26.15,30.33,60.33,59.63,1467.97,243.2,371.64,4276.89,1576.64,NA,2,4,12,20,17,1,NA,7
315,BALAKONG,2016,12/8/16,Residential,TAMAN IMPIAN EHSAN,JALAN TEMBUSU 1,"JALAN TEMBUSU 1, BALAKONG",3.0147383+101.7562724,3.0147383,101.7562724,TERRACE HOUSE,960,383,230000,600,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,25.8,29.85,59.98,59.13,794.53,99.33,418.46,4589.77,1380.41,83.23,1,4,10,20,16,1,2,12
317,BALAKONG,2016,3/22/2016,Residential,MOUNT KARUNMAS,JALAN KARUNMAS 5,"JALAN KARUNMAS 5, BALAKONG",3.0055041+101.7529223,3.0055041,101.7529223,CONDOMINIUM,811,238,205000,861,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,27.2,33.12,58.96,60.42,714.75,854.18,1008.58,4562.53,NA,NA,1,4,6,20,6,NA,NA,2
320,BALAKONG,2016,12/22/2016,Residential,TAMAN CHERAS JAYA,JALAN CJ 4/12,"JALAN CJ 4/12, BALAKONG",3.0184259+101.761423,3.0184259,101.761423,TERRACE HOUSE,664,298,470000,NA,Selengor,28.7,Town,0,89159.97,116.18,3106.619164,27.35,30.27,57.6,56.35,891.75,145.59,761.21,5094.11,1529.25,NA,15,4,10,20,20,2,NA,13
322,BALAKONG,2017,3/22/2017,Industrial,TAMAN TAMING JAYA, JALAN TAMING 5,"JALAN TAMING 5, BALAKONG",3.021023+101.7348183,3.021023,101.7348183,TERRACE FACTORY,657,542,1300000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,23.22,26.27,57.4,55.57,794.53,496.86,506.07,2122.56,1213.08,436.35,2,4,20,20,20,3,5,8
323,BALAKONG,2017,2/8/17,Residential,TAMAN CHERAS JAYA,JALAN CJ 4/11B,"JALAN CJ 4/11B, BALAKONG",3.0178734+101.7607047,3.0178734,101.7607047,TERRACE HOUSE,811,240,340000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,27.49,30.37,57.74,56.45,917.03,137.4,844.87,5021.37,1491.79,NA,15,4,10,20,14,1,NA,13
326,BALAKONG,2017,5/3/17,Residential,DESA KARUN MAS,JALAN KARUNMAS 3,"JALAN KARUNMAS 3, BALAKONG",3.0049167+101.7529421,3.0049167,101.7529421,TERRACE HOUSE,746,296,445000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,27.33,33.65,59.06,61.12,633.89,4070.62,1074,4592.89,NA,NA,1,4,6,20,4,NA,NA,1
327,BALAKONG,2017,5/22/2017,Residential,KAMPUNG BARU BALAKONG,JALAN KB 1/13,"JALAN KB 1/13, BALAKONG",3.0287495+101.7495097,3.0287495,101.7495097,BUNGALOW,746,60,400000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,25.9,27.95,60.08,57.25,986.66,918.35,508.01,3796.89,412.58,240.01,16,4,14,20,19,2,9,11
328,BALAKONG,2017,1/6/17,Residential,TAMAN CHERAS JAYA, JALAN CJ 2/11F,"JALAN CJ 2/11F, BALAKONG",3.0261713+101.7610023,3.0261713,101.7610023,SEMI-D,803,97,470000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,26.49,28.18,58.34,57.18,633.56,3372.62,293.58,5033.15,1119.41,484.96,17,3,12,20,20,2,1,14
329,BALAKONG,2017,1/26/2017,Industrial,TAMAN INDUSTRI BALAKONG JAYA,JALAN ONE INDUSTRIAL PARK 2,"JALAN ONE INDUSTRIAL PARK 2, BALAKONG",3.0167428+101.7370258,3.0167428,101.7370258,SEMI-D FACTORY,743,1349,3268000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,23.98,28.2,54.52,54.75,986.66,730.88,635.02,2458.44,1654.41,121.25,2,4,19,20,20,2,2,4
330,BALAKONG,2017,4/20/2017,Industrial,KAWASAN PERUSAHAAN LI FOONG,JALAN 7/1,"JALAN 7/1, BALAKONG",3.0146816+101.7392515,3.0146816,101.7392515,TERRACE FACTORY,NA,497,795000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,24.05,28.13,54.59,54.05,1130.39,586.37,506.68,2765.15,1611.25,246.87,1,4,16,20,20,1,2,2
331,BALAKONG,2017,6/8/17,Industrial,TAMAN TAMING JAYA,JALAN TAMING 5,"JALAN TAMING 5, BALAKONG",3.021023+101.7348183,3.021023,101.7348183,TERRACE FACTORY,NA,553,1326000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,23.22,26.27,57.4,55.57,794.53,496.86,506.07,2122.56,1213.08,436.35,2,4,20,20,20,3,5,8
332,BALAKONG,2017,3/7/17,Industrial,TAMAN TAMING JAYA,JALAN TAMING 7,"JALAN TAMING 7, BALAKONG",3.0204227+101.7361472,3.0204227,101.7361472,TERRACE FACTORY,NA,575,1380000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,23.38,27.37,57.57,56.65,714.75,491.68,663.29,2277.13,1372.68,478.69,2,4,20,20,20,2,1,8
333,BALAKONG,2017,3/7/17,Industrial,TAMAN TAMING JAYA,JALAN TAMING 7,"JALAN TAMING 7, BALAKONG",3.0204227+101.7361472,3.0204227,101.7361472,TERRACE FACTORY,NA,575,1380000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,23.38,27.37,57.57,56.65,714.75,491.68,663.29,2277.13,1372.68,478.69,2,4,20,20,20,2,1,8
334,BALAKONG,2017,1/20/2017,Industrial,TAMAN TAMING JAYA, TAMING P/1,"TAMING P/1, BALAKONG",3.0405321+101.7705779,3.0405321,101.7705779,SEMI-D FACTORY,NA,354,2750000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,20.11,24.38,61.26,57.32,318.15,286.76,270.21,6389.02,1379.86,46.68,20,4,19,20,20,1,7,16
335,BALAKONG,2017,6/1/17,Residential,BAYU SURIA (SUMMERFIELDS),,", BALAKONG",3.0256822+101.738147,3.0256822,101.738147,APARTMENT,646,247,266000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,22.76,23.6,56.95,52.9,330.23,0,441.18,2497.66,1249.5,67.48,2,4,17,20,20,2,5,
336,BALAKONG,2017,8/2/17,Industrial,TAMAN TAMING JAYA,JALAN TAMING P/1,"JALAN TAMING P/1, BALAKONG",3.0110181+101.7444072,3.0110181,101.7444072,SEMI-D FACTORY,667,397,3100000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,27.21,31.23,54.7,55.47,1433,383.24,619.82,3447.5,1656.12,NA,1,4,11,20,20,1,NA,7
337,BALAKONG,2017,4/13/2017,Industrial,KAWASAN PERUSAHAAN LI FOONG, JALAN 6/2,"JALAN 6/2, BALAKONG",3.031818+101.745295,3.031818,101.745295,TERRACE FACTORY,667,438,700000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,24.16,30.78,60.86,58.88,803.24,776.9,615.78,3417.26,879.44,NA,17,4,16,20,20,3,NA,3
338,BALAKONG,2017,6/15/2017,Industrial,TAMAN INDUSTRI BALAKONG JAYA,OFF JALAN BALAKONG,"OFF JALAN BALAKONG, BALAKONG",3.0071655+101.7560772,3.0071655,101.7560772,DETACHED FACTORY,774,127,8500000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,26.74,31.63,58.98,60.23,1433,577.17,913.07,4721.53,NA,NA,1,4,6,20,15,NA,NA,3
339,BALAKONG,2017,8/25/2017,Industrial,TAMAN INDUSTRI BALAKONG JAYA,JALAN BJ2T 2/2,"JALAN BJ2T 2/2, BALAKONG",3.0202288+101.7352718,3.0202288,101.7352718,SEMI-D FACTORY,667,161,2300000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,23.36,26.93,57.54,56.22,803.24,547.29,602.84,2183.67,1305.91,NA,2,4,20,20,20,3,NA,8
340,BALAKONG,2017,2/23/2017,Residential,TAMAN CHERAS JAYA,JALAN 9C,"JALAN 9C, BALAKONG",3.0170477+101.7548847,3.0170477,101.7548847,TERRACE HOUSE,743,464,430000,927,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,25.97,30.18,60.15,59.48,1464.98,115.73,369.65,4392.36,1081.06,205.87,15,4,11,20,11,1,3,13
341,BALAKONG,2017,1/26/2017,Industrial,TAMAN INDUSTRI BALAKONG JAYA, JALAN ONE INDUSTRIAL PARK 2ONE INDUSTRIAL,"JALAN ONE INDUSTRIAL PARK 2ONE INDUSTRIAL, BALAKONG",3.0085683+101.7384704,3.0085683,101.7384704,SEMI-D FACTORY,753,408,3128000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,26.82,29.2,54.3,53.43,1816.09,242.75,317.41,2988.89,NA,143.82,1,4,11,20,0,NA,3,7
342,BALAKONG,2017,5/24/2017,Industrial,KAWASAN PERUSAHAAN LI FOONG, JALAN 7/1,"JALAN 7/1, BALAKONG",3.0146816+101.7392515,3.0146816,101.7392515,TERRACE FACTORY,743,453,725000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,24.05,28.13,54.59,54.05,1130.39,586.37,506.68,2765.15,1611.25,246.87,1,4,16,20,20,1,2,2
343,BALAKONG,2017,7/26/2017,Industrial,TAMAN TAMING JAYA, JALAN TAMING 6,"JALAN TAMING 6, BALAKONG",3.3358749+101.493069,3.3358749,101.493069,TERRACE FACTORY,650,373,1300000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,47.41,44.98,99.8,86.37,117.49,3493.56,5000,9293.16,NA,NA,NA,1,NA,1,20,NA,NA,
344,BALAKONG,2017,6/9/17,Residential,MOUNT KARUNMAS,JALAN KARUNMAS 5,"JALAN KARUNMAS 5, BALAKONG",3.0055041+101.7529223,3.0055041,101.7529223,CONDOMINIUM,753,265,280000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,27.2,33.12,58.96,60.42,714.75,854.18,1008.58,4562.53,NA,NA,1,4,6,20,6,NA,NA,2
345,BALAKONG,2017,4/14/2017,Residential,BAYU SURIA (SUMMERFIELDS),,", BALAKONG",3.0256822+101.738147,3.0256822,101.738147,APARTMENT,650,223,235000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,22.76,23.6,56.95,52.9,330.23,0,441.18,2497.66,1249.5,67.48,2,4,17,20,20,2,5,
346,BALAKONG,2017,1/20/2017,Residential,TAMAN IMPIAN EHSAN,JALAN RESAK 3,"JALAN RESAK 3, BALAKONG",3.3103087+101.4718098,3.3103087,101.4718098,TERRACE HOUSE,701,300,180000,600,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,42.88,39.68,95.27,81.07,4267.15,172.21,5000,12000,1032.83,NA,NA,NA,NA,0,0,1,NA,5
347,BALAKONG,2017,1/13/2017,Industrial,TAMAN INDUSTRI BALAKONG JAYA, JALAN ONE INDUSTRIAL PARK 2ONE INDUSTRIAL,"JALAN ONE INDUSTRIAL PARK 2ONE INDUSTRIAL, BALAKONG",3.0085683+101.7384704,3.0085683,101.7384704,SEMI-D FACTORY,701,316,2900000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,26.82,29.2,54.3,53.43,1816.09,242.75,317.41,2988.89,NA,143.82,1,4,11,20,0,NA,3,7
348,BALAKONG,2017,3/13/2017,Industrial,KAWASAN PERUSAHAAN LI FOONG, JALAN PERUSAHAAN 3INDUSTRI SELESA JAYA 2,"JALAN PERUSAHAAN 3INDUSTRI SELESA JAYA 2, BALAKONG",3.0204254+101.7449016,3.0204254,101.7449016,SEMI-D FACTORY,743,336,4000000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,23.94,27.6,55.33,56.23,526.14,662.24,529.24,3244.61,714.97,359.95,1,4,14,20,20,1,1,14
349,BALAKONG,2017,5/16/2017,Industrial,TAMAN INDUSTRI BALAKONG JAYA,JALAN BJ 7,"JALAN BJ 7, BALAKONG",3.3069564+101.4331233,3.3069564,101.4331233,SEMI-D FACTORY,743,314,2800000,NA,Selengor,28.7,Town,0,90884.76,120.25,3166.716376,47.98,40.02,90.46,77.78,117.49,133.75,1074.47,12000,NA,NA,1,NA,2,5,2,NA,NA,1
357,BATU ARANG,2013,11/8/13,Commercial,BANDAR SUNGAI BUAYA,JALAN BATU ARANG,"JALAN BATU ARANG, BATU ARANG",3.261461600000001+101.4628861,3.2614616,101.4628861,OTHERS - PETROL STATION,650,1087,1862000,NA,Selengor,86.1,Town,0.000164071,23018.84,107.1,267.3500581,40.76,30.92,83.24,68.68,4370.23,753.61,5000,12000,NA,NA,NA,NA,NA,2,1,NA,NA,1
358,BATU ARANG,2013,9/4/13,Commercial,"RUMAH MURAH PKNS, BATU ARANG",JALAN BESAR,"JALAN BESAR, BATU ARANG",3.3050003+101.4314144,3.3050003,101.4314144,SHOPLOT,701,69,148000,NA,Selengor,86.1,Town,0.000164071,23018.84,107.1,267.3500581,47.75,39.53,90.23,77.3,400.83,155.35,1166.2,12000,1983.76,NA,1,NA,2,4,1,1,NA,1
365,BATU ARANG,2014,12/24/2014,Residential,PERUMAHAN KOS RENDAH BATU ARANG,JALAN DAMAI 3/4,"JALAN DAMAI 3/4, BATU ARANG",3.3045248+101.4769461,3.3045248,101.4769461,TERRACE HOUSE,775,141,80000,569,Selengor,86.1,Town,0.000164071,23311.62,110.85,270.7505226,42.63,39.15,95.02,80.53,1526.82,812.74,5000,12000,1764.84,NA,NA,NA,NA,0,0,1,NA,1
371,BATU ARANG,2014,6/3/14,Residential,PERUMAHAN KOS RENDAH BATU ARANG,JALAN DAMAI 3/1,"JALAN DAMAI 3/1, BATU ARANG",3.3057679+101.4496888,3.3057679,101.4496888,TERRACE HOUSE,775,158,90000,569,Selengor,86.1,Town,0.000164071,23311.62,110.85,270.7505226,48.09,40.7,90.58,78.47,1744.02,347.9,5000,12000,NA,NA,1,NA,NA,0,0,NA,NA,3
372,BATU ARANG,2014,11/19/2014,Residential,PERUMAHAN KOS RENDAH BATU ARANG,JALAN DAMAI 3/1,"JALAN DAMAI 3/1, BATU ARANG",3.3057679+101.4496888,3.3057679,101.4496888,TERRACE HOUSE,NA,158,90000,569,Selengor,86.1,Town,0.000164071,23311.62,110.85,270.7505226,48.09,40.7,90.58,78.47,1744.02,347.9,5000,12000,NA,NA,1,NA,NA,0,0,NA,NA,3
376,BATU ARANG,2015,8/3/15,Residential,PERUMAHAN KOS RENDAH BATU ARANG,JALAN DAMAI 3/1,"JALAN DAMAI 3/1, BATU ARANG",3.3057679+101.4496888,3.3057679,101.4496888,TERRACE HOUSE,980,149,85000,569,Selengor,86.1,Town,0.000164071,23614.62,114.35,274.2696864,48.09,40.7,90.58,78.47,1744.02,347.9,5000,12000,NA,NA,1,NA,NA,0,0,NA,NA,3
377,BATU ARANG,2015,3/13/2015,Commercial,KOTA PUTERI BANDAR BATU ARANG,LORONG 8/1,"LORONG 8/1, BATU ARANG",3.3038753+101.4466052,3.3038753,101.4466052,SHOPLOT,592,305,180000,NA,Selengor,86.1,Town,0.000164071,23614.62,114.35,274.2696864,47.7,39.63,90.19,77.42,1526.82,216.21,5000,12000,NA,NA,1,NA,NA,0,0,NA,NA,3
378,BATU ARANG,2015,4/7/15,Residential,PERUMAHAN KOS RENDAH BATU ARANG,JALAN DAMAI 3/4,"JALAN DAMAI 3/4, BATU ARANG",3.3045248+101.4769461,3.3045248,101.4769461,TERRACE HOUSE,NA,123,70000,569,Selengor,86.1,Town,0.000164071,23614.62,114.35,274.2696864,42.63,39.15,95.02,80.53,1526.82,812.74,5000,12000,1764.84,NA,NA,NA,NA,0,0,1,NA,1
382,BATU ARANG,2016,5/31/2016,Industrial,"KOTA PUTERI, BANDAR BATU ARANG",OFF JALAN KUALA SELANGOR,"OFF JALAN KUALA SELANGOR, BATU ARANG",3.3057384+101.4490223,3.3057384,101.4490223,SEMI-D FACTORY,980,122,2667000,NA,Selengor,86.1,Town,0.000164071,24075.01,116.18,279.6168409,48.03,40.38,90.51,78.17,1345.77,273.93,5000,12000,NA,NA,1,NA,NA,0,0,NA,NA,3
